time	0	1	2	3	4	5	6	7	8
0.0020	50.69	50.94	51.03	51.23	51.38	51.04	51.20	51.25	51.12
0.0031	54.64	54.16	52.87	60.93	60.07	55.62	62.64	62.36	61.10
0.0041	58.67	59.34	63.40	65.73	65.45	64.50	67.88	66.57	61.08
0.0050	61.06	61.28	65.97	67.39	63.51	63.27	70.38	69.12	68.13
0.0060	62.32	61.85	60.84	69.51	68.39	64.00	72.20	71.63	70.21
0.0070	63.43	63.73	66.78	70.60	69.39	64.46	73.06	71.31	64.80
0.0081	62.64	64.34	68.44	65.80	69.20	66.20	72.05	72.27	70.69
0.0091	63.29	63.82	68.70	69.44	66.08	66.15	72.83	72.12	71.72
0.0101	63.81	63.44	62.50	71.04	70.02	65.74	73.78	73.33	72.04
0.0111	64.39	64.72	67.79	71.58	70.40	65.49	74.05	72.34	65.85
0.0120	63.24	64.95	69.05	66.41	69.80	66.81	72.65	72.84	71.29
0.0138	63.72	64.31	69.11	69.92	66.86	66.60	73.30	72.45	72.09
0.0140	63.79	63.95	68.78	69.77	65.61	65.91	71.88	67.10	70.45
0.0150	63.59	63.03	62.16	70.17	68.48	64.71	71.43	66.96	69.58
0.0160	63.65	63.79	66.98	70.06	68.12	63.88	71.00	65.25	62.74
0.0171	62.15	63.69	67.93	64.51	67.17	64.86	69.22	65.42	67.82
0.0180	62.34	62.71	67.73	67.67	63.56	64.34	69.52	64.78	68.39
0.0190	62.58	62.04	61.25	69.00	67.25	63.64	70.20	65.73	68.41
0.0200	63.00	63.16	66.37	69.37	67.45	63.23	70.29	64.55	62.05
0.0211	61.75	63.29	67.53	64.10	66.77	64.46	68.81	65.01	67.41
0.0221	62.09	62.46	67.49	67.42	63.31	64.09	69.27	64.53	68.14
0.0230	61.83	60.65	60.51	67.57	62.62	62.24	69.49	64.33	67.62
0.0240	60.57	61.84	65.80	63.12	65.74	63.70	68.18	64.72	67.82
0.0250	62.05	63.06	67.40	68.19	67.40	64.87	69.49	65.46	68.47
0.0261	62.65	62.80	67.69	68.29	63.82	64.43	69.98	65.06	68.57
0.0270	62.16	60.92	60.74	67.95	62.92	62.51	69.77	64.64	67.95
0.0280	62.43	62.59	66.06	68.85	67.18	64.16	70.12	65.52	68.19
0.0290	63.21	63.71	67.51	69.46	67.72	63.77	70.28	64.63	62.24
0.0301	61.93	63.56	67.89	64.24	66.96	64.72	68.90	65.14	67.60
0.0311	62.21	62.60	67.63	67.53	63.44	64.22	69.38	64.64	68.26
0.0320	62.50	61.96	61.18	68.91	67.17	63.56	70.09	65.64	68.34
0.0330	62.95	63.11	66.33	69.32	67.40	63.18	70.23	64.50	62.00
0.0341	61.72	63.26	67.51	64.07	66.73	64.43	68.78	64.98	67.39
0.0351	62.07	62.44	67.47	67.41	63.30	64.07	69.28	64.52	68.12
0.0365	62.45	61.98	61.51	68.84	67.11	63.60	70.00	65.58	68.39
0.0371	62.78	62.44	63.27	69.35	67.65	64.00	70.55	66.05	68.56
0.0381	62.89	62.03	60.69	69.59	67.72	63.61	70.83	66.26	68.67
0.0391	63.13	63.20	66.31	69.52	67.56	63.28	70.53	64.75	62.19
0.0401	61.15	61.93	66.70	62.73	61.66	61.65	67.87	62.20	60.32
0.0411	61.74	62.53	66.85	67.49	66.20	63.51	68.58	63.94	66.29
0.0421	62.35	61.71	60.53	68.66	66.57	61.64	69.44	63.71	61.12
0.0430	62.57	62.54	65.49	68.72	66.49	61.93	69.51	63.27	60.16
0.0440	62.43	61.46	59.91	68.51	66.05	60.72	69.26	63.04	59.78
0.0451	60.18	60.46	64.48	61.80	60.41	59.99	66.94	61.06	58.93
0.0461	58.31	58.00	57.86	59.83	58.56	57.77	65.18	59.56	57.68
0.0471	57.33	57.89	62.03	58.74	57.71	57.73	64.11	58.57	56.85
0.0480	59.20	59.82	63.84	64.65	63.03	59.42	65.71	59.93	57.37
0.0490	59.34	60.98	65.39	61.45	64.11	62.05	65.90	62.30	64.83
0.0500	60.63	61.82	66.11	64.96	64.93	61.93	60.88	60.77	59.95
0.0523	60.64	61.11	65.90	64.16	61.08	61.07	59.02	58.43	58.44
0.0530	61.66	65.57	66.74	63.96	60.75	60.31	58.89	58.09	57.63
0.0541	61.42	62.00	67.37	66.23	62.92	65.96	67.26	65.46	61.07
0.0557	63.05	65.71	62.01	67.53	62.84	60.84	68.48	62.27	60.28
0.0561	63.47	66.61	63.81	66.91	64.34	65.54	63.48	65.85	61.42
0.0570	62.75	63.21	68.38	68.01	64.83	67.81	69.56	68.05	63.43
0.0580	64.51	68.70	70.77	69.02	65.67	68.87	69.92	64.18	63.19
0.0590	65.61	69.74	70.45	69.88	66.25	64.53	71.46	68.91	63.18
0.0601	65.87	70.41	71.90	69.12	67.26	69.60	65.75	68.66	64.63
0.0611	64.66	65.53	71.20	69.85	66.90	70.22	71.31	69.92	65.52
0.0620	65.75	70.03	72.20	70.21	66.95	70.22	71.07	65.40	64.47
0.0630	66.38	70.53	71.26	70.64	67.02	65.33	72.20	69.67	63.96
0.0641	66.40	71.06	72.77	69.75	68.29	71.64	66.60	70.70	71.47
0.0651	65.21	66.23	72.08	70.55	67.87	71.52	72.17	71.23	67.36
0.0660	66.27	70.73	73.18	70.90	68.11	72.47	72.05	67.64	71.57
0.0670	66.96	71.28	72.20	71.39	68.06	66.72	73.16	71.06	65.90
